Unnamed: 0,Unnamed: 0.1,English,Spanish
233,235,hi,Hola
234,236,obviously,obviamente
235,237,entire,completo
236,238,direction,dirección
237,239,foot,pie
238,240,angry,enfadado
239,241,power,energía
240,242,strong,fuerte
241,243,quick,rápido
242,244,doctor,médico
243,245,edge,borde
244,246,song,canción
245,248,twenty,veinte
246,249,barely,apenas
247,250,remain,permanecer
248,251,child,niño
249,252,enjoy,disfrutar
250,253,gun,pistola
251,254,slow,lento
252,255,city,ciudad
253,256,broke,rompió
254,257,key,clave
255,258,lead,dirigir
256,259,throat,garganta
257,260,normal,normal
258,261,you'd,que había
259,262,somewhere,en algún lugar
260,263,wake,despertarse
261,264,pair,par
262,265,sky,cielo
263,266,funny,gracioso
264,267,business,negocio
265,268,student,estudiante
266,269,giggle,risilla
267,270,bright,brillante
268,271,admit,admitir
269,272,jeans,vaqueros
270,273,given,dado
271,274,children,niños
272,275,store,Tienda
273,276,sweet,dulce
274,277,low,bajo
275,278,climb,escalada
276,279,rub,frotar
277,280,apartment,Departamento
278,281,knee,rodilla
279,282,shoe,zapato
280,283,attack,ataque
281,284,bedroom,Cuarto
282,285,joke,broma
283,286,spent,gastado
284,287,situation,situación
285,288,stuck,atascado
286,289,gently,suavemente
287,290,possible,posible
288,291,cell,célula
289,292,mention,mencionar
290,293,silent,silencio
291,294,definitely,definitivamente
292,295,rush,prisa
293,296,hung,colgado
294,297,brush,cepillo
295,298,perhaps,quizás
296,299,groan,gemido
297,300,ass,culo
298,301,rock,Roca
299,302,card,tarjeta
300,303,lose,perder
301,304,blush,sonrojo
302,305,besides,además
303,306,crazy,loco
304,307,type,tipo
305,308,bore,aburrir
306,309,afraid,temeroso
307,310,chase,perseguir
308,311,respond,responder
309,312,marry,casar
310,313,remind,recordar
311,314,pack,paquete
312,315,daughter,hija
313,316,serious,grave
314,317,girlfriend,Novia
315,318,mad,enojado
316,319,somehow,de algun modo
317,320,buy,comprar
318,321,sent,enviado
319,322,tight,apretado
320,323,simply,simplemente
321,324,trust,confianza
322,325,imagine,imagina
323,326,wind,viento
324,327,chuckle,risita
325,328,pink,Rosa
326,329,shove,empujón
327,330,ball,bola
328,331,sight,visión
329,332,drag,arrastrar
330,333,they'd,Habían
331,334,human,humano
332,335,truth,verdad
333,336,share,Cuota
334,337,area,área
335,338,concern,preocupación
336,339,shouldn't,no debería
337,340,team,equipo
338,341,escape,escapar
339,342,mumble,mascullar
340,343,often,a menudo
341,344,search,buscar
342,345,apparently,aparentemente
343,346,attempt,intento
344,347,son,hijo
345,348,within,dentro
346,349,band,banda
347,350,cute,linda
348,351,led,dirigió
349,352,memory,memoria
350,353,anger,ira
351,354,fly,volar
352,355,paint,pintura
353,356,bottle,botella
354,357,busy,ocupado
355,358,comment,comentario
356,359,exclaim,exclamar
357,360,avoid,evitar
358,361,grow,crecer
359,362,grey,gris
360,363,mirror,espejo
361,364,gasp,jadear
362,365,hallway,Vestíbulo
363,366,dear,querido
364,367,star,estrella
365,368,sick,enfermo
366,369,cat,gato
367,370,counter,encimera
368,371,interrupt,interrumpir
369,372,none,ninguno
370,373,blink,parpadear
371,374,spend,gastar
372,375,usual,usual
373,376,worse,peor
374,377,locker,armario
375,378,important,importante
376,379,favorite,favorito
377,380,grip,sujeción
378,381,TV,televisor
379,382,ice,hielo
380,383,pretend,fingir
381,384,settle,resolver
382,385,amaze,asombro
383,386,pop,música pop
384,387,disappear,desaparecer
385,388,carefully,con cuidado
386,389,train,entrenar
387,390,stick,palo
388,391,guard,Guardia
389,392,teeth,dientes
390,393,flash,destello
391,394,uncle,tío
392,395,send,enviar
393,396,doubt,duda
394,397,visit,visita
395,398,nervous,nervioso
396,399,excite,excitar
397,400,approach,Acercarse
398,401,excuse,excusa
399,402,fit,encajar
400,403,noise,ruido
401,404,study,estudio
402,405,letter,letra
403,406,police,policía
404,407,eventually,finalmente
405,408,burn,quemar
406,409,field,campo
407,410,hospital,hospital
408,411,tie,Corbata
409,412,summer,verano
410,413,huh,eh
411,414,shift,cambiar
412,415,self,uno mismo
413,416,hurry,apurarse
414,417,greet,saludar
415,418,wife,esposa
416,419,position,posición
417,420,we've,hemos
418,421,wipe,limpiar
419,422,heavy,pesado
420,423,slam,golpe
421,424,broken,roto
422,425,complete,completo
423,426,space,espacio
424,427,brain,cerebro
425,428,tiny,diminuto
426,429,pants,pantalones
427,430,ah,ah
428,431,punch,puñetazo
429,432,shower,ducha
430,433,tongue,lengua
431,434,afternoon,tarde
432,435,seriously,en serio
433,436,cup,taza
435,438,race,raza
436,439,recognize,reconocer
437,440,computer,ordenador
438,441,rang,sonó
439,442,safe,a salvo
440,443,jacket,chaqueta
441,444,bottom,fondo
442,445,hundred,centenar
443,446,relax,relajarse
444,447,sudden,repentino
445,448,wow,Guau
446,449,college,Universidad
447,450,flip,dar la vuelta
448,451,mood,estado animico
449,452,track,pista
450,453,crack,grieta
451,454,block,cuadra
452,455,handle,resolver
453,456,themselves,ellos mismos
454,457,drove,condujo
455,458,seven,Siete
456,459,struggle,lucha
457,460,whether,ya sea
458,461,ahead,adelante
459,462,sad,triste
460,463,dry,seco
461,464,women,mujeres
462,465,focus,enfocar
463,466,repeat,repetir
464,467,thick,grueso
465,468,relationship,relación
466,469,jerk,imbécil
467,470,present,regalo
468,471,suck,chupar
469,472,bell,campana
470,473,surround,rodear
471,474,evening,noche
472,475,bite,morder
473,476,single,único
474,477,fault,culpa
475,478,shadow,sombra
476,479,wood,madera
477,480,easily,fácilmente
478,481,woke,despertó
479,482,smoke,humo
480,483,draw,dibujar
481,484,suggest,sugerir
482,485,wet,mojado
483,486,accept,aceptar
484,487,third,tercera
485,488,totally,totalmente
486,489,wore,vistió
487,490,breakfast,desayuno
488,491,trail,sendero
489,492,animal,animal
490,493,warn,advertir
491,494,aunt,tía
492,495,sir,señor
493,496,piss,orinar
494,497,burst,ráfaga
495,498,match,partido
496,499,fix,reparar
497,500,practically,prácticamente
498,501,odd,impar
499,502,wash,lavar
500,503,sing,cantar
501,504,inch,pulgada
502,505,size,Talla
503,506,secret,secreto
504,507,who's,quién está
505,508,clock,reloj
506,509,company,empresa
507,510,view,vista
508,511,suit,traje
509,512,forever,para siempre
510,513,familiar,familiar
511,514,forehead,frente
512,515,shoot,disparo
513,516,grew,creció
514,517,stretch,estirarse
515,518,pound,libra
516,519,despite,A pesar de
517,520,response,respuesta
518,521,center,centrar
519,522,curl,rizo
520,523,slight,leve
521,524,toss,sacudida
522,525,beneath,bajo
523,526,fist,puño
524,527,welcome,bienvenidos
525,528,laughter,la risa
526,529,angel,Ángel
527,530,Christmas,Navidad
528,531,we'd,casarse
529,532,main,principal
530,533,simple,sencillo
531,534,neither,ninguno de los dos
532,535,distance,distancia
533,536,comfort,comodidad
534,537,upset,disgustado
535,538,assume,asumir
536,539,eight,ocho
537,540,gather,recolectar
538,541,lucky,afortunado
539,542,fade,desvanecerse
540,543,Ms.,Milisegundo.
541,544,coat,Saco
542,545,special,especial
543,546,awkward,incómodo
544,547,certain,cierto
545,548,plate,lámina
546,549,darkness,oscuridad
547,550,practice,práctica
548,551,obvious,obvio
549,552,grade,calificación
550,553,cream,crema
551,554,choice,elección
552,555,hardly,difícilmente
553,556,pale,pálido
554,557,button,botón
555,558,chocolate,chocolate
556,559,refuse,negar
557,560,slid,deslizado
558,561,pillow,almohada
559,562,thirty,treinta
560,563,count,contar
561,564,honestly,honestamente
562,565,poor,pobre
563,566,motion,movimiento
564,567,storm,tormenta
565,568,lightly,ligeramente
566,569,nobody,nadie
567,570,experience,experiencia
568,571,path,camino
569,572,period,período
570,573,dare,atrevimiento
571,574,demand,demanda
572,575,comfortable,cómodo
573,576,clearly,claramente
574,577,silver,plata
575,578,peer,mirar
576,579,birthday,cumpleaños
577,580,disgust,asco
578,581,embarrass,avergonzar
579,582,bought,compró
580,583,test,prueba
581,584,lap,vuelta
582,585,bet,apuesta
583,586,loudly,fuerte
584,587,driver,conductor
585,588,murmur,murmullo
586,589,taste,sabor
587,590,perfectly,perfectamente
588,591,squeeze,estrujar
589,592,board,Junta
590,593,worth,valer
591,594,fold,pliegue
592,595,spread,propagar
593,596,crap,tonterías
594,597,emotion,emoción
595,598,subject,sujeto
596,599,pour,verter
597,600,laid,establecido
598,601,lower,más bajo
